code,name,1950-07,1951-07,1952-07,1953-07,1954-07,1955-07,1956-07,1957-07,1958-07,1959-07,1960-07,1961-07,1962-07,1963-07,1964-07,1965-07,1966-07,1967-07,1968-07,1969-07,1970-07,1971-07,1972-07,1973-07,1974-07,1975-07,1976-07,1977-07,1978-07,1979-07,1980-07,1981-07,1982-07,1983-07,1984-07,1985-07,1986-07,1987-07,1988-07,1989-07,1990-07,1991-07,1992-07,1993-07,1994-07,1995-07,1996-07,1997-07,1998-07,1999-07,2000-07,2001-07,2002-07,2003-07,2004-07,2005-07,2006-07,2007-07,2008-07,2009-07,2010-07,2011-07,2012-07,2013-07,2014-07,2015-07,2016-07,2017-07,2018-07,2019-07,2020-07,2021-07,2022-07,2023-07
KEN,Kenya,1006.81,1281.01,1019.13,1347.65,797.34,705.19,728.64,913,773.15,840.96,805.2,1045.24,776.69,1015.43,788.98,663.89,706.93,898.6,950.33,548.5,699.4,755.22,793.27,616.5,656.29,703.87,692.82,1159.95,949.1,948.83,637,850.11,865.2,763.28,610.86,801.42,827.51,670.97,817.19,826.3,842.29,681.81,667.58,613.48,784.82,668.08,601.31,1010.85,848.53,554.94,477.52,687.12,711.26,621.08,667.56,532.85,878.42,673.39,587.66,491.63,724.51,736.83,718.12,791.79,649.75,760.74,599.31,597.52,879.6,865.4,947.91,482.75,423.31,707.85
KGZ,Kyrgyz Republic,706.99,902.8,808.48,865.12,899.34,815.11,763.56,814.41,925.97,869.39,839.04,730.87,827.12,951.92,938.14,894.85,928.76,858.04,882.21,1081.39,946.74,820.42,1024.37,796.8,901.78,798.75,853.62,836.3,801.86,818.98,905.23,1070.85,853.77,871.37,844.43,862.11,876.39,1082.75,952.88,841.56,892.44,883.67,952.8,1082.56,930.07,883.2,951.07,765.7,1088.51,1057.01,991.13,958.83,977.83,1019.32,928.45,895.88,881.96,886.4,863.09,953.65,1050.46,958.21,806.45,845.01,844.31,934.65,1090.83,873.87,937.4,866.23,893.36,824.13,944.91,866.19
KHM,Cambodia,1348.49,1171.81,1646.29,1761.38,1353.12,1689.78,1889.57,1862.06,1452.79,1495.07,1723.26,1633.35,1731.93,1693.96,1746.58,1728.19,1841.79,1431.94,1393.39,1515.42,1518.02,1754.23,2255.23,1857.56,1830.45,2073.67,1812.92,1559.75,1915.57,1765.28,2045.51,1898.27,1717.74,1815.23,1739.93,1959.56,1997.31,1829.81,1835.13,1752.28,1813.35,1719.48,1573.68,1766.35,1684.07,1675.29,1910.91,1724.07,1719.38,2138.62,2026.81,1751.25,1691.1,1773.48,1519.94,1645.26,1835.58,2024.21,1896.97,1964.25,1728.26,1861.9,1846.1,2007.93,1665.42,1476.17,1894.53,1977.52,1856.99,1566.71,1650.56,1826.42,2150.46,1935.03
KIR,Kiribati,760.39,2047.83,1418.32,1962.42,717.59,585.06,766.1,2380.15,1675.9,1550.65,1035.81,1207.83,738.22,979.18,766.34,2027.59,2156,1328.9,1304.19,2232.61,878.05,674.17,2694.37,1315.01,727.48,642.7,1399.49,1477.11,1159.78,1406.64,1195.4,845.28,2169.28,1798.32,684.31,739.68,1339.42,2633.14,803.78,625.08,1451.52,1506.64,2448.77,1677.15,1099.45,711.2,639.15,2661.34,1157.45,481.96,615.18,1048.24,1882.07,1403.94,1232.95,1081.77,1192.51,1016.56,806.76,1401.52,1605.24,786.55,1149.21,854.12,1207.98,2712.6,1867.3,715.25,650.51,1801.58,815.15,719.34,441.54,1687.36
KNA,Saint Kitts and Nevis,893.4,893.06,724.84,646.29,819.92,802.41,704.67,688.89,923.63,613.87,926.43,990.47,800.84,818.77,783.55,735.59,751.27,642.42,605.85,776.78,892.44,641.1,735.22,880.13,1012.72,757.34,738.18,815.48,770.96,1157.99,618.25,998.48,979.07,822.03,900.76,776.03,829.38,1261.11,816.67,847.51,824.27,686.19,765.77,750.46,528.77,901.1,977.34,703.39,1129.7,1134.01,666.65,673.1,671.81,958.79,1302.6,1128.34,944.22,902.45,924.48,878.91,1334.33,1287.99,978.77,979.09,895.75,652.92,968.7,1090.91,738.39,705.19,875.89,662.27,881.97,906.26
KOR,Republic of Korea,1100.34,864.61,1054.46,1122.42,1397.78,1027.42,1784.87,1395.56,1552.86,1419.18,1189.4,1323.96,1290.68,1529.11,1419.19,1137.14,1084.05,1023.16,961.57,1443.25,1206.65,1230.11,1768.27,1024.01,1483.78,1361.69,1270.04,1096.78,1239.61,1369.99,1517.42,1381.53,1093.65,1293.42,1268.82,1687.73,1365.4,1572.63,917.06,1550.5,1507.5,1428.7,1152.62,1479.66,850.23,996.37,1127.99,1201.57,1637.4,1587.22,1249.69,1041.5,1397.98,1686.82,1246.19,1095.85,1257.03,1379.79,890.41,1109.43,1225.65,1413.06,1423.07,1082.58,1085.45,973.07,1225.8,913.9,1268.64,1176.75,1500.25,1225.23,1076.18,1587.07
KSV,Kosovo,603.45,725.29,772.5,730.83,904.01,1068.37,808.09,809.62,759.99,954.71,836.14,636.72,918.15,968.6,926.02,734.05,858.87,831.78,845.99,793.69,908.55,848.69,1057.33,901.47,905.36,765.79,990.64,710.61,828.19,936.16,866.52,935.35,679.25,848.81,730.49,823.19,866.01,831.12,742.33,861.85,593.67,729.13,669.71,665.26,665.07,983.95,933.91,751.53,812.14,921.79,572.65,833.5,867.99,740.26,961.07,958.3,837.54,816.55,690.5,991.72,942.45,587.11,733.33,767.32,1009.23,779.82,968.75,826.99,1000.43,789,887.81,984.62,846.44,997.54
KWT,Kuwait,89.34,72.51,147.06,127.38,179.27,54.25,118.39,121.95,58.29,75.41,45.96,149.6,59.68,114.56,46.04,73.44,75.83,123.42,85.42,117.06,81.45,122.76,191.09,63.32,174.37,127.49,184.16,113.83,107.15,132.77,157.36,84.1,138.97,84.18,126.64,88.84,164.05,74.29,78.61,108.52,53.74,156.36,118.36,140.91,117.92,153.28,250.64,267.69,116.41,183.47,131.42,107.38,111.18,109.21,181.37,173.88,101.53,111.17,50.78,125.22,34.37,83.91,135.63,166.5,121.25,122.47,59.62,60.3,265,136.78,128.81,50.82,115.73,177.06
LAO,Lao People's Democratic Republic,1736.99,1886.82,2087.91,1857.66,1372.98,1680.59,1836.05,2111.02,1864.4,1747.6,2004.36,2269.06,1819.84,2145.26,2078.82,2008.57,1858.5,1685.03,1919.63,1867.85,1915.88,2096.84,2320.14,2181.17,2182.94,2252.95,2057.58,2020.34,2467.26,2013.57,2104.86,2530.95,2168.33,1970.23,2085.1,2036.67,2147.92,1967.24,1836.21,2021.46,2149.99,1935.13,1886.83,1807.24,2303.6,2034.32,2084.48,2023.84,1580.78,1919.06,2049.66,2033.44,2220.86,1743.35,1859.12,1980.76,1911.58,1919.27,2099.35,1887.56,1908.37,2146.23,1865.82,2059.55,1848.2,1874.69,1900.59,2115.27,2263.24,1593.86,1747.23,1853.36,2057.21,1817.61
LBN,Lebanon,589.39,651.89,592.45,937.48,838.79,532.79,601.64,596.24,400.35,455.49,408.57,549.45,495.82,623.35,571.91,569.11,507.2,811.04,736.8,706.69,495.09,785.38,620.22,521.17,534.85,512.36,594.31,692.5,576.46,516.35,657.01,625.83,578.42,639.38,592.09,507.49,613.8,648.46,731.49,306.27,394.47,648.36,717,482.35,790.71,404.08,556.43,604.53,537.37,344.45,564,488.3,680.67,790.03,611.16,570.39,507.92,554.91,406.27,597.78,398.95,607.31,790.06,547.76,428.12,567.08,533.76,418.48,643.01,700.88,643.31,529.07,488.62,615.92
